"UMAP1","UMAP2","Gene","is_core","deltaTE","Category"
1.2551340110144,-5.030462124895,"CFLAR",FALSE,0.405269167696765,"Non-core"
-1.62869562754921,-3.30454635752325,"TFPI",FALSE,-0.481593814452701,"Non-core"
5.03837167472199,0.128181352612076,"NDUFAF7",FALSE,0.629242260043,"Non-core"
3.67958856448953,4.9946435655711,"RBM5",FALSE,0.191441503890212,"Non-core"
4.95796702235306,6.46123118283426,"ARF5",FALSE,0.638807039350401,"Non-core"
0.585268752704113,-6.27988821642319,"POLDIP2",FALSE,0.13744454183274,"Non-core"
-4.01194987766812,-6.22912178371401,"PLXND1",FALSE,-0.335895467339086,"Non-core"
-3.47355983983052,-5.11537434830034,"AK2",FALSE,0.0329014969063171,"Non-core"
-5.12312336351839,-3.56989185490005,"FKBP4",FALSE,0.27243598294861,"Non-core"
-1.88578489318767,-5.42471171392028,"KDM1A",FALSE,0.287590739566661,"Non-core"
5.35478376277992,2.16108293559557,"RBM6",FALSE,0.054891648991269,"Non-core"
-4.60025758715114,-7.81440094936577,"CAMKK1",FALSE,-0.470241865867873,"Non-core"
1.91670620754858,-7.90157149066549,"RECQL",FALSE,-0.309044647270545,"Non-core"
-0.145593552082442,6.86383139588806,"VPS50",FALSE,0.28378921913163,"Non-core"
0.48977682656749,8.55649176363246,"HSPB6",FALSE,0.738735086138608,"Non-core"
1.88066753074896,2.86234572813596,"ARHGAP33",FALSE,-0.2541722346852,"Non-core"
-0.484860287863939,-5.49315179702046,"NDUFAB1",FALSE,0.429761016802106,"Non-core"
-0.69368540394549,8.07333095832624,"PDK4",FALSE,0.44776576947691,"Non-core"
2.26234676999011,2.12822458407689,"ZMYND10",FALSE,-0.22842336497009,"Non-core"
1.36643004457455,-2.59480489624243,"ABCB5",FALSE,-0.512211324557673,"Non-core"
-2.32555792884097,8.72958741789278,"ARX",FALSE,1.04839369367526,"Non-core"
4.69871817863014,-5.38406990711507,"SLC25A13",FALSE,0.051726454385855,"Non-core"
4.26223408405696,-3.63462111195577,"ST7",FALSE,0.316096227611867,"Non-core"
4.52593426705594,5.23530943283856,"CDC27",FALSE,0.35331898942944,"Non-core"
3.66233267356301,0.118675585969572,"SLC4A1",FALSE,-0.124554330888635,"Non-core"
-9.85503388330113,4.26681561263267,"CALCR",FALSE,-4.22662540993479,"Non-core"
3.94004495480937,-0.139186757268359,"HCCS",FALSE,-0.097564732502641,"Non-core"
4.68234524287158,-0.427156112049562,"DVL2",FALSE,-0.0672648175133567,"Non-core"
0.48013814094042,5.1835096223285,"PRSS22",FALSE,-0.0131912059603601,"Non-core"
6.08969917787665,0.607550413610172,"UPF1",FALSE,0.0250818864473549,"Non-core"
3.25503612159628,-4.21065231717581,"SKAP2",FALSE,0.332085135330818,"Non-core"
-4.48246345214442,-4.05718833231386,"SLC25A5",FALSE,0.355452739675809,"Non-core"
3.05833531110317,-7.42027748193992,"CCDC109B",FALSE,-0.280670215623972,"Non-core"
-6.18253297841991,9.67913286049591,"HOXA11",FALSE,-0.2072884529659,"Non-core"
-3.34920663181064,-6.50968721791546,"POLR2J",FALSE,-0.0169184398506201,"Non-core"
-0.19089569989917,-8.11778534916392,"DHX33",FALSE,-0.496752260664228,"Non-core"
5.23593736274557,4.60513913115587,"LIG3",FALSE,0.32180686389751,"Non-core"
-0.177768702094226,6.60065709696258,"RPAP3",FALSE,0.496555576124731,"Non-core"
-0.391848124924935,6.23481409572446,"ACSM3",FALSE,0.183877923412833,"Non-core"
3.55039429562965,4.60208836195331,"AC004381.6",FALSE,0.124384418612211,"Non-core"
-2.16842754395178,-7.46359321714434,"CIAPIN1",FALSE,-0.210005052519496,"Non-core"
-1.83584404547834,-2.90623113340342,"SPPL2B",FALSE,-0.671127604632618,"Non-core"
1.45071141800535,6.9473400219132,"FAM214B",FALSE,0.263349908906326,"Non-core"
-8.15811005604637,8.78029161228044,"COPZ2",FALSE,-0.76417027259816,"Non-core"
